,정전피해_지역,피해_가구수,시작시간,종료시간
269,충청북도 단양군,2000,2021.07.22 14:00 , 2021.07.22 14:37
270,경기도 광주시,2000,2021.07.22 14:00 , 2021.07.22 14:36
271,전라남도 곡성군,2000,2021.07.22 14:00 , 2021.07.22 14:21
272,강원도 고성군,2000,2021.07.22 14:00 , 2021.07.22 14:38
273,충청북도 청주시 청원구,2000,2021.07.22 14:00 , 2021.07.22 14:38
274,강원도 삼척시,2000,2021.07.22 14:00 , 2021.07.22 14:36
275,강원도 원주시,2000,2021.07.22 14:00 , 2021.07.22 14:36
276,충청북도 청주시 서원구,2000,2021.07.22 14:00 , 2021.07.22 14:37
277,강원도 정선군,2000,2021.07.22 14:00 , 2021.07.22 14:21
278,강원도 양구군,2000,2021.07.22 14:00 , 2021.07.22 14:20
279,경기도 수원시 권선구,2000,2021.07.22 14:00 , 2021.07.22 14:18
280,경기도 이천시,2000,2021.07.22 14:00 , 2021.07.22 14:19
281,서울특별시 서초구,2001,2021.07.22 14:00 , 2021.07.22 14:25
282,부산광역시 부산진구,2000,2021.07.22 14:00 , 2021.07.22 14:32
283,경기도 안산시 단원구,2000,2021.07.22 14:00 , 2021.07.22 14:22
284,경기도 광명시,2000,2021.07.22 14:00 , 2021.07.22 14:19
285,경기도 군포시,2000,2021.07.22 14:00 , 2021.07.22 14:27
286,경상북도 울진군,2000,2021.07.22 14:00 , 2021.07.22 14:29
287,경상북도 영양군,2000,2021.07.22 14:00 , 2021.07.22 14:18
288,경상남도 사천시,2000,2021.07.22 14:00 , 2021.07.22 14:21
289,경상북도 구미시,2000,2021.07.22 14:00 , 2021.07.22 14:19
290,경상북도 구미시,2000,2021.07.22 14:00 , 2021.07.22 14:19
291,경상북도 울진군,2000,2021.07.22 14:00 , 2021.07.22 14:27
292,경상남도 창녕군,2000,2021.07.22 14:00 , 2021.07.22 14:18
293,경상북도 경산시,2000,2021.07.22 14:00 , 2021.07.22 14:40
294,경상남도 함안군,2000,2021.07.22 14:00 , 2021.07.22 14:38
295,전라남도 강진군,2000,2021.07.22 14:00 , 2021.07.22 14:40
296,경기도 파주시,1000,2021.07.22 13:50 , 2021.07.22 10:10
297,전라북도 익산시,1000,2021.07.22 13:39 , 2021.07.22 13:39
298,전라북도 장수군,1000,2021.07.22 13:38 , 2021.07.22 13:43
299,전라북도 군산시,1000,2021.07.22 13:37 , 2021.07.22 13:37
300,충청북도 음성군,1000,2021.07.22 13:36 , 2021.07.22 13:35
301,전라북도 부안군,1000,2021.07.22 13:36 , 2021.07.22 13:42
