,year,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
151,2016,28,62158.17085963805,83756.04006207913,36.166520970117844
152,2016,29,62838.53821022727,84510.90717066498,35.79564996580387
153,2016,30,60879.79752926997,82910.45991161617,37.0377222681359
154,2016,31,60095.66544011544,84982.4509018759,42.26310253787879
155,2017,1,61228.43744739057,88978.55266203704,46.864248111321544
156,2017,2,61152.555794928456,89361.93402777778,47.715968710542924
157,2017,3,60849.74979394641,89285.49515993266,48.98497506839225
158,2017,4,60844.15446127946,88872.98119212962,49.08448008470118
159,2017,5,60759.73806029041,88574.98295454546,48.71679098537458
160,2017,6,62800.78703756313,89163.46714541246,44.334063447495794
161,2017,7,63684.761808186035,89818.45586069024,43.39308627946128
162,2017,8,63257.89012521043,89095.58617424242,42.744990632891415
163,2017,9,62697.82564709595,88718.16858691078,43.042977498947806
164,2017,10,63738.46338120791,89282.0949074074,41.69165765204124
165,2017,11,63963.37269044613,89629.52322706228,41.86988586910774
166,2017,12,63286.74681449916,89679.84417087543,43.55425031828704
167,2017,13,64864.5563788931,89930.21004313973,40.15932962962963
168,2017,14,64579.74986058502,89846.67595223064,40.634744239267675
169,2017,15,63082.40743108165,89250.44991582491,42.75410765467172
170,2017,16,63265.49661458333,89299.4275831229,42.58971815025253
171,2017,17,63993.65389046717,89716.30179398149,41.63332103324916
172,2017,18,64053.894894255056,89633.0489793771,41.44254984611743
173,2017,19,63564.48206544613,89423.43381734006,42.42635669454966
174,2017,20,65495.60768097643,89833.97337962962,38.87504375789141
175,2017,21,65336.909123351565,89834.90922243266,39.23105426399411
176,2017,22,64446.676599326594,89580.54976851851,40.7202819760101
177,2017,23,64424.44879261364,89699.1640625,40.9847877761995
178,2017,24,64866.49981060606,90058.36923926767,40.64668077651515
179,2017,25,63538.859545980646,89789.04816393097,42.70630309869529
180,2017,26,62479.03436184764,89625.5234375,45.03494730902778
181,2017,27,63184.81463120791,89524.81584069865,43.387057908249155
182,2017,28,62866.71313131313,89517.79377104377,44.48885897779882
183,2017,29,61371.09883207071,89348.8014520202,47.18419870580808
184,2017,30,60663.18428604224,89206.80713383837,48.60621211834252
185,2017,31,62888.83819895382,90950.8216540404,45.88765256583694
186,2018,1,62210.599218749994,89812.65335648149,45.833001736111115
187,2018,2,64280.17320601852,89831.54427083333,41.29372745949074
188,2018,3,64361.34201388889,89112.3347800926,39.63987213541667
