,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
458,202112,堡林堡开矫,悼备,魂诀侩,428 ,"3,074,327 ","398,024,796 ",129.5 
477,202112,堡林堡开矫,辑备,林琶侩,"76,728 ","36,353,318 ","3,854,905,776 ",106 
456,202112,堡林堡开矫,悼备,背腊侩,59 ,"3,617,998 ","368,550,327 ",101.9 
439,202112,堡林堡开矫,堡魂备,啊肺殿,"13,020 ","2,613,975 ","283,312,538 ",108.4 
440,202112,堡林堡开矫,堡魂备,背腊侩,170 ,"6,006,802 ","645,590,708 ",107.5 
441,202112,堡林堡开矫,堡魂备,丑荤侩,"6,355 ","4,705,696 ","231,039,936 ",49.1 
442,202112,堡林堡开矫,堡魂备,魂诀侩,"3,290 ","182,339,770 ","22,856,967,060 ",125.4 
443,202112,堡林堡开矫,堡魂备,缴 具,"1,264 ","2,136,999 ","155,300,881 ",72.7 
444,202112,堡林堡开矫,堡魂备,老馆侩,"24,543 ","65,482,168 ","8,942,344,743 ",136.6 
445,202112,堡林堡开矫,堡魂备,林琶侩,"86,872 ","49,590,864 ","5,256,492,235 ",106 
446,202112,堡林堡开矫,堡魂备,钦拌,"135,514 ","312,876,274 ","38,371,048,101 ",122.6 
457,202112,堡林堡开矫,悼备,丑荤侩,366 ,"117,691 ","6,454,309 ",54.8 
448,202112,堡林堡开矫,巢备,背腊侩,103 ,"3,467,499 ","374,907,556 ",108.1 
449,202112,堡林堡开矫,巢备,丑荤侩,"2,426 ","956,589 ","50,772,861 ",53.1 
450,202112,堡林堡开矫,巢备,魂诀侩,470 ,"3,348,844 ","474,915,258 ",141.8 
451,202112,堡林堡开矫,巢备,缴 具,"1,050 ","1,918,451 ","139,249,325 ",72.6 
452,202112,堡林堡开矫,巢备,老馆侩,"11,984 ","26,381,684 ","3,643,715,547 ",138.1 
453,202112,堡林堡开矫,巢备,林琶侩,"56,606 ","27,177,488 ","3,007,856,768 ",110.7 
454,202112,堡林堡开矫,巢备,钦拌,"81,405 ","64,384,798 ","7,810,773,764 ",121.3 
455,202112,堡林堡开矫,悼备,啊肺殿,"5,458 ","837,978 ","86,964,725 ",103.8 
447,202112,堡林堡开矫,巢备,啊肺殿,"8,766 ","1,134,243 ","119,356,449 ",105.2 
506,202201,堡林堡开矫,合备,缴 具,"1,459 ","3,667,243 ","281,505,136 ",76.8 
505,202201,堡林堡开矫,合备,魂诀侩,"1,617 ","61,042,366 ","7,197,395,470 ",117.9 
501,202201,堡林堡开矫,悼备,钦拌,"61,218 ","60,822,131 ","7,550,309,629 ",124.1 
503,202201,堡林堡开矫,合备,背腊侩,193 ,"15,312,383 ","1,518,382,968 ",99.2 
502,202201,堡林堡开矫,合备,啊肺殿,"12,567 ","1,827,598 ","193,218,551 ",105.7 
507,202201,堡林堡开矫,合备,老馆侩,"27,947 ","71,266,862 ","9,341,902,509 ",131.1 
504,202201,堡林堡开矫,合备,丑荤侩,"2,150 ","2,654,096 ","125,699,012 ",47.4 
508,202201,堡林堡开矫,合备,林琶侩,"126,185 ","57,965,336 ","6,548,504,168 ",113 
