,0,1,2
219,인천광역시 부평구,2021.06.21 10:10 / 2021.06.21 10:38,1000
220,서울특별시 관악구,2021.06.18 13:00 / 2021.06.18 17:19,1000
221,인천광역시 부평구,2021.06.16 16:40 / 2021.06.16 16:47,1000
222,대구광역시 북구,2021.06.15 16:05 / 2021.06.15 16:07,1000
223,경기도 의정부시,2021.06.15 16:00 / 2021.06.15 16:06,1000
224,강원도 춘천시,2021.06.15 16:00 / 2021.06.15 16:07,20
225,경상남도 창원시 의창구,2021.06.15 16:00 / 2021.06.15 16:08,2000
226,제주특별자치도 제주시,2021.06.15 16:00 / 2021.06.15 16:06,294
227,부산광역시 부산진구,2021.06.15 15:00 / 2021.06.15 16:06,1000
228,서울특별시 종로구,2021.06.15 10:00 / 2021.06.15 16:08,1000
229,경기도 수원시 팔달구,2021.06.15 00:00 / 2021.06.15 16:07,20
230,서울특별시 광진구,2021.06.15 00:00 / 2021.06.15 16:08,1000
231,대전광역시 대덕구,2021.06.15 00:00 / 2021.06.15 16:06,1000
232,전라남도 영암군,2021.06.15 00:00 / 2021.06.15 16:08,2000
233,경상북도 안동시,2021.06.15 00:00 / 2021.06.15 16:10,1000
234,충청북도 보은군,2021.06.15 00:00 / 2021.06.15 16:11,1010
235,전라북도 남원시,2021.06.15 00:00 / 2021.06.15 20:05,20
236,서울특별시 광진구,2021.06.13 00:00 / 2021.06.13 14:41,1000
237,서울특별시 관악구,2021.06.11 10:00 / 2021.06.11 10:37,17700
238,제주특별자치도 제주시,2021.06.10 10:20 / 2021.06.10 10:39,550
239,제주특별자치도 제주시,2021.06.09 18:20 / 2021.06.09 20:41,132
240,서울특별시 관악구,2021.05.25 10:00 / 2021.05.25 13:34,12420
241,서울특별시 관악구,2021.05.25 10:00 / 2021.05.25 14:39,12180
242,서울특별시 서초구,2021.05.24 05:00 / 2021.05.24 17:38,1220
243,서울특별시 중랑구,2021.05.19 06:00 / 2021.05.20 14:46,2100
244,제주특별자치도 제주시,2021.05.10 13:30 / 2021.05.10 10:24,362
245,광주광역시 서구,2021.03.10 16:00 / 2021.03.10 14:46,2170
246,강원도 고성군,2021.03.03 11:13 / 2021.03.03 11:47,1074
247,강원도 인제군,2021.03.02 17:21 / 2021.03.02 19:11,181
248,강원도 양양군,2021.03.02 12:47 / 2021.03.02 14:52,2194
249,강원도 양양군,2021.03.02 12:47 / 2021.03.02 14:52,2194
250,강원도 속초시,2021.03.02 11:50 / 2021.03.02 12:30,25
251,강원도 고성군,2021.03.02 10:51 / 2021.03.02 11:39,266
252,강원도 강릉시,2021.03.02 10:15 / 2021.03.02 12:24,172
253,강원도 강릉시,2021.03.02 10:15 / 2021.03.02 12:24,172
254,강원도 양양군,2021.03.02 08:33 / 2021.03.02 17:56,251
255,강원도 강릉시,2021.03.02 07:23 / 2021.03.03 16:33,11
256,강원도 강릉시,2021.03.02 07:23 / 2021.03.03 16:33,11
257,강원도 양양군,2021.03.02 06:16 / 2021.03.02 08:39,1497
258,강원도 양양군,2021.03.02 03:43 / 2021.03.03 16:00,2194
259,강원도 강릉시,2021.03.02 02:50 / 2021.03.02 10:12,1317
260,강원도 강릉시,2021.03.02 02:50 / 2021.03.02 10:12,1317
261,강원도 강릉시,2021.03.02 02:45 / 2021.03.02 16:49,982
262,강원도 강릉시,2021.03.02 02:45 / 2021.03.02 16:49,1194
